Event	ID	Name			Wwise Object Path	Notes
	2959533290	Play_Amb			\Default Work Unit\Play_Amb	

Game Parameter	ID	Name			Wwise Object Path	Notes
	1240670792	Distance			\Default Work Unit\Distance	

Modulator LFO	ID	Name			Wwise Object Path	Notes
	277299988	Wind_LFO_Slow			\Default Work Unit\Wind_LFO_Slow	
	635060621	Wind_LFO_Fast			\Default Work Unit\Wind_LFO_Fast	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	8136119	Amb_RFX_Bird_Eleonoras_Falcon_02	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Eleonoras_Falcon_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Eleonoras_Falcon\Amb_RFX_Bird_Eleonoras_Falcon_02		138244
	11170927	Amb_RFX_Bird_Eurasian_Rock_Pipit_C_02	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Eurasian_Rock_Pipit_C_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Eurasian_Rock_Pipit\Amb_RFX_Bird_Eurasian_Rock_Pipit_C_02		29468
	13314066	Amb_Branch_Rustle_Apple_Tree_RFX-003	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_Branch_Rustle_Apple_Tree_RFX-003_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Branch_Rustle\Branch_Rustle_Apple_Tree_RFX\Amb_Branch_Rustle_Apple_Tree_RFX-003		327744
	19197113	Amb_RFX_Bird_Levant_Sparrowhawk_01	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Levant_Sparrowhawk_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Levant_Sparrowhawk\Amb_RFX_Bird_Levant_Sparrowhawk_01		158824
	30166619	Amb_RFX_Bird_Great_Cormorant_06	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Great_Cormorant_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Great_Cormoran\Amb_RFX_Bird_Great_Cormorant_06		191164
	30453637	Amb_RFX_Bird_Grey_Heron_C_02	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Grey_Heron_C_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Grey_Heron\Amb_RFX_Bird_Grey_Heron_C_02		111788
	41995396	Amb_Wind_Tree_Lush_Med_RFX-017	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_Wind_Tree_Lush_Med_RFX-017_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Branch_Rustle\Amb_Wind_Tree_Lush_Med_RFX\Amb_Wind_Tree_Lush_Med_RFX-017		994640
	42140386	Amb_RFX_Bird_Tree_Pipit_02	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Tree_Pipit_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Tree_Pipit\Amb_RFX_Bird_Tree_Pipit_02		291040
	49315695	Amb_RFX_Bird_Water_Pipit_C_01	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Water_Pipit_C_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Water_Pipit\Amb_RFX_Bird_Water_Pipit_C_01		70892
	58382440	Amb_RFX_Bird_Eurasian_Scops_Owl_B_04	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Eurasian_Scops_Owl_B_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Eurasian_Scops_Owl\Amb_RFX_Bird_Eurasian_Scops_Owl_B_04		41224
	59888163	Amb_RFX_Bird_Boreal_Owl_A_01	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Boreal_Owl_A_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Boreal_Owl\Amb_RFX_Bird_Boreal_Owl_A_01		170584
	69493721	Amb_RFX_Bird_Black_Redstart_01	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Bird_Black_Redstart_01_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Birds_RFX\RFX_Alpine_Black_Redstart\Amb_RFX_Bird_Black_Redstart_01		408776
	78235626	Amb_Wind_Tree_Lush_Med_RFX-006	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_Wind_Tree_Lush_Med_RFX-006_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Branch_Rustle\Amb_Wind_Tree_Lush_Med_RFX\Amb_Wind_Tree_Lush_Med_RFX-006		1323064
	79269412	Amb_RFX_Insect_Cricket_G_05	C:\Users\RSTD\Documents\WwiseProjects\DarkWorld\.cache\Windows\SFX\Amb_RFX_Insect_Cricket_G_05_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\AMB\Amb_Design_Gate\Insect_RFX\RFX_Insect_Cricket_G\Amb_RFX_Insect_Cricket_G_05		242258
